brand,property,brand_standard,manufacturer_code,room_category,subcategory,group_code,hotel_unit_type,hotel_unit_code,product_name,product_specifications,quantity_per_unit,unit_of_measure,product_placement,product_photo,suggested_supplier,brand_name,brand_model,estimated_cost,status,purchase_date,installation_date,comments,standard_id,created_at,updated_at,created_by,updated_by
1,2,D04-0003,,,,D04,Guestroom,,Duvet Cover - King 280x240,King Duvet Cover,,,,,Textil Premium (Frette Piquet FTTPQ-DC),Frette,Piquet FTTPQ-DC,,pending,,,,STD-0031,2026-02-27T21:54:31.786188+00:00,2026-02-27T21:54:31.786200+00:00,1,1
1,2,D04-0002,,,,D04,Guestroom,,Pillowcase - Standard 50x90,Standard Pillowcase,,,,,Textil Premium (Frette Piquet FTTPQ-PC),Frette,Piquet FTTPQ-PC,,pending,,,,STD-0032,2026-02-27T21:54:31.790282+00:00,2026-02-27T21:54:31.790293+00:00,1,1
1,2,D04-0001,,,,D04,Guestroom,,Sheet - King Size 280x280,King Sheet,,,,,Textil Premium (Frette Piquet FTTPQ-K),Frette,Piquet FTTPQ-K,,pending,,,,STD-0033,2026-02-27T21:54:31.794366+00:00,2026-02-27T21:54:31.794377+00:00,1,1
1,2,D04-0005,,,,D04,Restaurant,,Napkin - Dinner 50x50,Dinner Napkin,,,,,Textil Premium (Frette Ristorante FTRSM-N50),Frette,Ristorante FTRSM-N50,,pending,,,,STD-0034,2026-02-27T21:54:31.798735+00:00,2026-02-27T21:54:31.798745+00:00,1,1
1,2,D04-0004,,,,D04,Restaurant,,Tablecloth - Round 180 cm,Round Tablecloth,,,,,Textil Premium (Frette Ristorante FTRSM-R180),Frette,Ristorante FTRSM-R180,,pending,,,,STD-0035,2026-02-27T21:54:31.802982+00:00,2026-02-27T21:54:31.802993+00:00,1,1
1,2,D04-0006,,,,D04,Spa,,Bath Towel - 70x140 cm,Bath Towel,,,,,Textil Premium (Frette Spa FTSPA-BT),Frette,Spa FTSPA-BT,,pending,,,,STD-0036,2026-02-27T21:54:31.807599+00:00,2026-02-27T21:54:31.807610+00:00,1,1
1,2,D04-0007,,,,D04,Spa,,Hand Towel - 50x100 cm,Hand Towel,,,,,Textil Premium (Frette Spa FTSPA-HT),Frette,Spa FTSPA-HT,,pending,,,,STD-0037,2026-02-27T21:54:31.812008+00:00,2026-02-27T21:54:31.812018+00:00,1,1
1,2,E01-0002,,,,E01,Back Office,,Office Chair - Ergonomic,Office Chair,,,,,Office Plus (Herman Miller Aeron AER1B23DW),Herman Miller,Aeron AER1B23DW,,pending,,,,STD-0038,2026-02-27T21:54:31.816728+00:00,2026-02-27T21:54:31.816740+00:00,1,1
1,2,E01-0001,,,,E01,Back Office,,Office Desk - 160x80 cm,Office Desk,,,,,Office Plus (Herman Miller Canvas CB-D1680),Herman Miller,Canvas CB-D1680,,pending,,,,STD-0039,2026-02-27T21:54:31.820830+00:00,2026-02-27T21:54:31.820841+00:00,1,1
1,2,E01-0003,,,,E01,Front Desk,,Monitor - 27 inch 4K,Monitor 27in 4K,,,,,Office Plus (Dell UltraSharp U2723QE),Dell,UltraSharp U2723QE,,pending,,,,STD-0040,2026-02-27T21:54:31.825414+00:00,2026-02-27T21:54:31.825425+00:00,1,1
1,2,F01-0001,,,,F01,Kitchen,,Chef's Knife - 25 cm,Chef's Knife,,,,,Equip Gastro (Global G-2 GBL-G-2),Global,G-2 GBL-G-2,,pending,,,,STD-0041,2026-02-27T21:54:31.829627+00:00,2026-02-27T21:54:31.829638+00:00,1,1
1,2,F01-0003,,,,F01,Kitchen,,Ladle - 8 oz Stainless,Ladle 8 oz,,,,,Equip Gastro (Vollrath Jacob's Pride 4780820),Vollrath,Jacob's Pride 4780820,,pending,,,,STD-0042,2026-02-27T21:54:31.833758+00:00,2026-02-27T21:54:31.833773+00:00,1,1
1,2,F01-0002,,,,F01,Kitchen,,Mixing Bowl - Stainless 5L,Mixing Bowl 5L,,,,,Equip Gastro (Vollrath Economy 47940),Vollrath,Economy 47940,,pending,,,,STD-0043,2026-02-27T21:54:31.838694+00:00,2026-02-27T21:54:31.838706+00:00,1,1
1,2,F01-0004,,,,F01,Pastry,,Rolling Pin - Marble 45 cm,Marble Rolling Pin,,,,,Equip Gastro (Matfer Bourgeat 120022),Matfer,Bourgeat 120022,,pending,,,,STD-0044,2026-02-27T21:54:31.843007+00:00,2026-02-27T21:54:31.843018+00:00,1,1
1,2,,,a,a,,aa,bb,check check,,,,,,,,,,pending,2026-03-11,2026-03-11,,STD-0045,2026-03-11T20:17:09.722943+00:00,2026-03-11T20:17:09.722956+00:00,1,1
