brand_standard_id,brand,manufacturer_code,room_category,subcategory,group_code,hotel_unit_type,hotel_unit_code,product_name,product_specifications,quantity_per_unit,unit_of_measure,product_placement,product_photo,suggested_supplier,brand_name,brand_model,estimated_cost,created_at,updated_at,created_by,updated_by
D01-0038,1,,,,D01,Seafood Grill,,Plate - triangle 31 cm R121,Plate - triangle 31 cm,,,,,Metalisteria Pylsa (Churchill Stonecast SWHSTR121),Churchill,Stonecast SWHSTR121,,2026-02-27T21:45:37.673522+00:00,2026-02-27T21:45:37.673532+00:00,,
D01-0039,1,,,,D01,Seafood Grill,,Plate - rectangular 35 cm P141,Plate - rectangular 35 cm,,,,,Metalisteria Pylsa (Churchill Stonecast),Churchill,Stonecast,,2026-02-27T21:45:37.674437+00:00,2026-02-27T21:45:37.674446+00:00,,
D01-0040,1,,,,D01,Seafood Grill,,Flower vase for table SBV1,Flower vase for table,,,,,Metalisteria Pylsa (Churchill Stonecast SWHSSBV1),Churchill,Stonecast SWHSSBV1,,2026-02-27T21:45:37.675355+00:00,2026-02-27T21:45:37.675365+00:00,,
D01-0041,1,,,,D01,Brasserie,,Plate - B&B 9193,Plate - B&B,,,,,Metalisteria Pylsa (Churchill Buckingham WBP651),Churchill,Buckingham WBP651,,2026-02-27T21:45:37.676264+00:00,2026-02-27T21:45:37.676273+00:00,,
D01-0042,1,,,,D01,Brasserie,,Plate - dessert / salad 9151,Plate - dessert / salad,,,,,Metalisteria Pylsa (Churchill Buckingham WBP81),Churchill,Buckingham WBP81,,2026-02-27T21:45:37.677154+00:00,2026-02-27T21:45:37.677163+00:00,,
D01-0043,1,,,,D01,Brasserie,,Plate - dinner 9161,Plate - dinner,,,,,Metalisteria Pylsa (Churchill Buckingham WBP111),Churchill,Buckingham WBP111,,2026-02-27T21:45:37.678076+00:00,2026-02-27T21:45:37.678086+00:00,,
D02-0001,1,,,,D02,Restaurant,,Wine Glass - Red 350 ml,Wine Glass - Red,,,,,Cristalería SA (Riedel Ouverture RD86340060),Riedel,Ouverture RD86340060,,2026-02-27T21:45:37.679087+00:00,2026-02-27T21:45:37.679097+00:00,,
D02-0002,1,,,,D02,Bar,,Wine Glass - White 290 ml,Wine Glass - White,,,,,Cristalería SA (Riedel Ouverture RD86340030),Riedel,Ouverture RD86340030,,2026-02-27T21:45:37.680118+00:00,2026-02-27T21:45:37.680127+00:00,,
D02-0003,1,,,,D02,Bar,,Highball Glass 350 ml,Highball Glass,,,,,Cristalería SA (Libbey Cabos 13 oz 221),Libbey,Cabos 13 oz 221,,2026-02-27T21:45:37.681149+00:00,2026-02-27T21:45:37.681160+00:00,,
D02-0004,1,,,,D02,Meeting Room,,Water Glass 300 ml,Water Glass,,,,,Cristalería SA (Libbey Cabos 10 oz 220),Libbey,Cabos 10 oz 220,,2026-02-27T21:45:37.682246+00:00,2026-02-27T21:45:37.682255+00:00,,
D02-0005,1,,,,D02,Restaurant,,Champagne Flute 180 ml,Champagne Flute,,,,,Cristalería SA (Riedel Ouverture RD86340077),Riedel,Ouverture RD86340077,,2026-02-27T21:45:37.683211+00:00,2026-02-27T21:45:37.683221+00:00,,
D03-0001,1,,,,D03,Restaurant,,Fork - Dinner,Dinner Fork,,,,,Plaqué SA (Oneida Sestina 2553FDIF),Oneida,Sestina 2553FDIF,,2026-02-27T21:45:37.684136+00:00,2026-02-27T21:45:37.684146+00:00,,
D03-0002,1,,,,D03,Restaurant,,Knife - Dinner,Dinner Knife,,,,,Plaqué SA (Oneida Sestina 2553KDVF),Oneida,Sestina 2553KDVF,,2026-02-27T21:45:37.685047+00:00,2026-02-27T21:45:37.685057+00:00,,
D03-0003,1,,,,D03,Restaurant,,Spoon - Dessert,Dessert Spoon,,,,,Plaqué SA (Oneida Sestina 2553SDSF),Oneida,Sestina 2553SDSF,,2026-02-27T21:45:37.685958+00:00,2026-02-27T21:45:37.685968+00:00,,
D03-0004,1,,,,D03,Bar,,Spoon - Teaspoon,Teaspoon,,,,,Plaqué SA (Oneida Sestina 2553STSF),Oneida,Sestina 2553STSF,,2026-02-27T21:45:37.686932+00:00,2026-02-27T21:45:37.686952+00:00,,
D03-0005,1,,,,D03,Brasserie,,Fork - Salad,Salad Fork,,,,,Plaqué SA (Oneida Sestina 2553FSAF),Oneida,Sestina 2553FSAF,,2026-02-27T21:45:37.687891+00:00,2026-02-27T21:45:37.687900+00:00,,
D04-0001,1,,,,D04,Guestroom,,Sheet - King Size 280x280,King Sheet,,,,,Textil Premium (Frette Piquet FTTPQ-K),Frette,Piquet FTTPQ-K,,2026-02-27T21:45:37.688779+00:00,2026-02-27T21:45:37.688788+00:00,,
D04-0002,1,,,,D04,Guestroom,,Pillowcase - Standard 50x90,Standard Pillowcase,,,,,Textil Premium (Frette Piquet FTTPQ-PC),Frette,Piquet FTTPQ-PC,,2026-02-27T21:45:37.689665+00:00,2026-02-27T21:45:37.689674+00:00,,
D04-0003,1,,,,D04,Guestroom,,Duvet Cover - King 280x240,King Duvet Cover,,,,,Textil Premium (Frette Piquet FTTPQ-DC),Frette,Piquet FTTPQ-DC,,2026-02-27T21:45:37.690554+00:00,2026-02-27T21:45:37.690563+00:00,,
D04-0004,1,,,,D04,Restaurant,,Tablecloth - Round 180 cm,Round Tablecloth,,,,,Textil Premium (Frette Ristorante FTRSM-R180),Frette,Ristorante FTRSM-R180,,2026-02-27T21:45:37.691591+00:00,2026-02-27T21:45:37.691607+00:00,,
D04-0005,1,,,,D04,Restaurant,,Napkin - Dinner 50x50,Dinner Napkin,,,,,Textil Premium (Frette Ristorante FTRSM-N50),Frette,Ristorante FTRSM-N50,,2026-02-27T21:45:37.692507+00:00,2026-02-27T21:45:37.692517+00:00,,
D04-0006,1,,,,D04,Spa,,Bath Towel - 70x140 cm,Bath Towel,,,,,Textil Premium (Frette Spa FTSPA-BT),Frette,Spa FTSPA-BT,,2026-02-27T21:45:37.693417+00:00,2026-02-27T21:45:37.693427+00:00,,
D04-0007,1,,,,D04,Spa,,Hand Towel - 50x100 cm,Hand Towel,,,,,Textil Premium (Frette Spa FTSPA-HT),Frette,Spa FTSPA-HT,,2026-02-27T21:45:37.694320+00:00,2026-02-27T21:45:37.694329+00:00,,
E01-0001,1,,,,E01,Back Office,,Office Desk - 160x80 cm,Office Desk,,,,,Office Plus (Herman Miller Canvas CB-D1680),Herman Miller,Canvas CB-D1680,,2026-02-27T21:45:37.695265+00:00,2026-02-27T21:45:37.695275+00:00,,
E01-0002,1,,,,E01,Back Office,,Office Chair - Ergonomic,Office Chair,,,,,Office Plus (Herman Miller Aeron AER1B23DW),Herman Miller,Aeron AER1B23DW,,2026-02-27T21:45:37.696160+00:00,2026-02-27T21:45:37.696169+00:00,,
E01-0003,1,,,,E01,Front Desk,,Monitor - 27 inch 4K,Monitor 27in 4K,,,,,Office Plus (Dell UltraSharp U2723QE),Dell,UltraSharp U2723QE,,2026-02-27T21:45:37.697062+00:00,2026-02-27T21:45:37.697071+00:00,,
F01-0001,1,,,,F01,Kitchen,,Chef's Knife - 25 cm,Chef's Knife,,,,,Equip Gastro (Global G-2 GBL-G-2),Global,G-2 GBL-G-2,,2026-02-27T21:45:37.697979+00:00,2026-02-27T21:45:37.697988+00:00,,
F01-0002,1,,,,F01,Kitchen,,Mixing Bowl - Stainless 5L,Mixing Bowl 5L,,,,,Equip Gastro (Vollrath Economy 47940),Vollrath,Economy 47940,,2026-02-27T21:45:37.698890+00:00,2026-02-27T21:45:37.698900+00:00,,
F01-0003,1,,,,F01,Kitchen,,Ladle - 8 oz Stainless,Ladle 8 oz,,,,,Equip Gastro (Vollrath Jacob's Pride 4780820),Vollrath,Jacob's Pride 4780820,,2026-02-27T21:45:37.699801+00:00,2026-02-27T21:45:37.699810+00:00,,
F01-0004,1,,,,F01,Pastry,,Rolling Pin - Marble 45 cm,Marble Rolling Pin,,,,,Equip Gastro (Matfer Bourgeat 120022),Matfer,Bourgeat 120022,,2026-02-27T21:45:37.700688+00:00,2026-02-27T21:45:37.700697+00:00,,
